scenario,strategy,seed,agent_seed,net_arpu_gain,gross_gain,communication_cost,total_contacts,unique_customers,n_pilots,n_final_campaigns,runtime_seconds,negative,conforms
mock,template,0,42,-1019431.0606441048,-995599.0606441048,23832.0,5958,5358,6,2,0.1343258999986574,True,True
mock,template,1,42,-576203.7790105487,-526587.7790105487,49616.0,12404,11504,6,4,0.11071969999466091,True,True
mock,template,2,42,-338970.97459386534,-299826.97459386534,39144.0,9786,6928,6,4,0.10837629996240139,True,True
mock,template,3,42,-140280.93497766246,-136680.93497766246,3600.0,900,886,6,0,0.15434180002193898,True,False
mock,template,4,42,-1019236.6714434463,-995404.6714434463,23832.0,5958,5358,6,2,0.09547679999377578,True,True
mock,template,5,42,-366963.8866435362,-344683.8866435362,22280.0,5570,5109,6,2,0.10087499994551763,True,True
mock,template,6,42,-320311.84019152867,-282495.84019152867,37816.0,9454,8845,6,3,0.1018344999756664,True,True
mock,template,7,42,-348931.70612175035,-317995.70612175035,30936.0,7734,7276,6,2,0.09257129998877645,True,True
mock,template,8,42,-76493.45195450934,-57581.45195450934,18912.0,4728,4275,6,2,0.09145850001368672,True,True
mock,template,9,42,-601537.532706727,-558801.532706727,42736.0,10684,9934,6,3,0.09545030002482235,True,True
