scenario,strategy,seed,agent_seed,net_arpu_gain,gross_gain,communication_cost,total_contacts,unique_customers,n_pilots,n_final_campaigns,runtime_seconds,negative,conforms
mock_tuning,v1,0,42,358934.2102444537,458544.2102444537,99610.0,15000,12400,16,9,7.011242699983995,False,True
mock_tuning,new,0,42,-244732.593405028,-205828.593405028,38904.0,7926,6869,16,1,1.9570542000001296,True,True
mock_tuning,v1,1,42,-297696.92196291016,-198776.92196291016,98920.0,15000,12200,16,5,5.690350200049579,True,True
mock_tuning,new,1,42,1152030.4810422827,1219806.4810422827,67776.0,15000,13769,16,10,2.738915599999018,False,True
mock_tuning,v1,2,42,141206.2292875714,240126.2292875714,98920.0,15000,12200,16,5,5.195961799996439,False,True
mock_tuning,new,2,42,443485.2823082164,463485.2823082164,20000.0,6553,5830,16,2,2.043606900027953,False,True
permuted_leaders,v1,10,42,-68537.87977912414,31404.12022087585,99942.0,15000,12400,16,9,6.123542300018016,True,True
permuted_leaders,new,10,42,-278539.43692819565,-212163.43692819565,66376.0,5308,4736,16,1,2.3969227999914438,True,True
permuted_leaders,v1,11,42,-249035.65820611303,-149035.65820611303,100000.0,15000,9926,16,5,4.802071399986744,True,True
permuted_leaders,new,11,42,-59190.77527327825,-20286.775273278246,38904.0,9170,8159,16,10,2.2035750999930315,True,True
sign_reversed,v1,10,42,-164648.7101432113,-65952.71014321131,98696.0,15000,12200,16,7,6.671952100005001,True,True
sign_reversed,new,10,42,-257729.0651446783,-218825.0651446783,38904.0,7926,6093,16,1,2.5082113000098616,True,True
sign_reversed,v1,11,42,327958.0582024541,427958.0582024541,100000.0,15000,9726,16,6,4.823274999973364,False,True
sign_reversed,new,11,42,434955.3538235524,473859.3538235524,38904.0,9559,8745,16,2,2.2772561000310816,False,True
weak_history,v1,10,42,11013313.47243859,11113313.47243859,100000.0,15000,12435,16,6,4.403712900006212,False,True
weak_history,new,10,42,10910334.994737912,11010332.994737912,99998.0,12336,9674,16,4,2.3671369000221603,False,True
weak_history,v1,11,42,11731420.187960465,11831420.187960465,100000.0,15000,12128,16,5,4.658692999975756,False,True
weak_history,new,11,42,10549865.507185671,10649857.507185671,99992.0,15000,10276,16,4,2.3432095000171103,False,True
low_conversion,v1,10,42,-84814.07760765478,15127.922392345225,99942.0,15000,12400,16,9,7.064795799960848,True,True
low_conversion,new,10,42,-59429.213595290144,6946.786404709857,66376.0,5308,4736,16,1,2.6318369999644347,True,True
low_conversion,v1,11,42,-95905.69135337089,4094.308646629116,100000.0,15000,9726,16,6,4.844486500020139,True,True
low_conversion,new,11,42,-10515.879677951798,28388.120322048202,38904.0,9784,8752,16,7,2.438795499969274,True,True
saturated_calls,v1,10,42,19930405.395629685,20027773.395629685,97368.0,15000,12132,16,5,4.074540900008287,False,True
saturated_calls,new,10,42,18491729.836650968,18591727.836650968,99998.0,14843,12960,16,6,2.6126182000152767,False,True
saturated_calls,v1,11,42,18439804.71140508,18539804.71140508,100000.0,15000,12531,16,5,3.9897604000288993,False,True
saturated_calls,new,11,42,20591856.510159053,20688450.510159053,96594.0,15000,12971,16,5,2.6583911000052467,False,True
near_zero,v1,10,42,-107004.72473409049,-7062.724734090492,99942.0,15000,12400,16,9,7.649190700030886,True,True
near_zero,new,10,42,-70773.53735837029,-4397.537358370295,66376.0,5308,4736,16,1,2.6493512999732047,True,True
near_zero,v1,11,42,-73710.39611572961,26289.603884270386,100000.0,15000,9726,16,6,4.926212599966675,True,True
near_zero,new,11,42,-22199.783861151,16704.216138849,38904.0,7926,7186,16,1,2.300031399994623,True,True
