scenario,strategy,seed,agent_seed,net_arpu_gain,gross_gain,communication_cost,total_contacts,unique_customers,n_pilots,n_final_campaigns,runtime_seconds,negative,conforms
mock_tuning,v1,0,42,358934.2102444537,458544.2102444537,99610.0,15000,12400,16,9,7.011242699983995,False,True
mock_tuning,new,0,42,1522752.1993233322,1552944.1993233322,30192.0,10071,9366,16,10,2.3286978999967687,False,True
mock_tuning,v1,1,42,-297696.92196291016,-198776.92196291016,98920.0,15000,12200,16,5,5.690350200049579,True,True
mock_tuning,new,1,42,944818.0037831955,1044818.0037831955,100000.0,15000,13769,16,8,2.6820456000277773,False,True
mock_tuning,v1,2,42,141206.2292875714,240126.2292875714,98920.0,15000,12200,16,5,5.195961799996439,False,True
mock_tuning,new,2,42,1266292.5412997846,1329098.5412997846,62806.0,9527,8426,16,10,2.424468200013507,False,True
permuted_leaders,v1,10,42,-68537.87977912414,31404.12022087585,99942.0,15000,12400,16,9,6.123542300018016,True,True
permuted_leaders,new,10,42,28903.267032816264,48903.267032816264,20000.0,7064,6492,16,10,2.5787564999773167,False,True
permuted_leaders,v1,11,42,-249035.65820611303,-149035.65820611303,100000.0,15000,9926,16,5,4.802071399986744,True,True
permuted_leaders,new,11,42,-395568.18931553466,-327774.18931553466,67794.0,15000,13403,16,8,2.7846902000019327,True,True
sign_reversed,v1,10,42,-164648.7101432113,-65952.71014321131,98696.0,15000,12200,16,7,6.671952100005001,True,True
sign_reversed,new,10,42,-257729.0651446783,-218825.0651446783,38904.0,7926,6093,16,1,2.3801048999885097,True,True
sign_reversed,v1,11,42,327958.0582024541,427958.0582024541,100000.0,15000,9726,16,6,4.823274999973364,False,True
sign_reversed,new,11,42,265259.7543165229,341917.7543165229,76658.0,15000,13096,16,5,2.847542399947997,False,True
weak_history,v1,10,42,11013313.47243859,11113313.47243859,100000.0,15000,12435,16,6,4.403712900006212,False,True
weak_history,new,10,42,11306988.82584574,11406984.82584574,99996.0,12039,9674,16,4,2.873157699999865,False,True
weak_history,v1,11,42,11731420.187960465,11831420.187960465,100000.0,15000,12128,16,5,4.658692999975756,False,True
weak_history,new,11,42,12460023.124381188,12555085.124381188,95062.0,15000,12840,16,5,2.4356180999893695,False,True
low_conversion,v1,10,42,-84814.07760765478,15127.922392345225,99942.0,15000,12400,16,9,7.064795799960848,True,True
low_conversion,new,10,42,5834.833159953581,25834.83315995358,20000.0,4074,3702,16,8,2.546132000046782,False,True
low_conversion,v1,11,42,-95905.69135337089,4094.308646629116,100000.0,15000,9726,16,6,4.844486500020139,True,True
low_conversion,new,11,42,-49497.84194228629,7310.158057713704,56808.0,15000,12634,16,6,3.0173576999804936,True,True
saturated_calls,v1,10,42,19930405.395629685,20027773.395629685,97368.0,15000,12132,16,5,4.074540900008287,False,True
saturated_calls,new,10,42,18491729.836650968,18591727.836650968,99998.0,14843,12960,16,6,2.6081695000175387,False,True
saturated_calls,v1,11,42,18439804.71140508,18539804.71140508,100000.0,15000,12531,16,5,3.9897604000288993,False,True
saturated_calls,new,11,42,20591856.510159053,20688450.510159053,96594.0,15000,12971,16,5,2.619397000002209,False,True
near_zero,v1,10,42,-107004.72473409049,-7062.724734090492,99942.0,15000,12400,16,9,7.649190700030886,True,True
near_zero,new,10,42,-19323.0993664683,676.9006335316993,20000.0,4036,3664,16,5,2.290254299994558,True,True
near_zero,v1,11,42,-73710.39611572961,26289.603884270386,100000.0,15000,9726,16,6,4.926212599966675,True,True
near_zero,new,11,42,-38231.49484049193,20404.505159508073,58636.0,15000,12892,16,8,2.980622900009621,True,True
