scenario,strategy,seed,agent_seed,net_arpu_gain,gross_gain,communication_cost,total_contacts,unique_customers,n_pilots,n_final_campaigns,runtime_seconds,negative,conforms
mock_tuning,v1,0,42,358934.2102444537,458544.2102444537,99610.0,15000,12400,16,9,7.011242699983995,False,True
mock_tuning,new,0,42,1522752.1993233322,1552944.1993233322,30192.0,10071,9366,16,10,3.460514399979729,False,True
mock_tuning,v1,1,42,-297696.92196291016,-198776.92196291016,98920.0,15000,12200,16,5,5.690350200049579,True,True
mock_tuning,new,1,42,944818.0037831955,1044818.0037831955,100000.0,15000,13769,16,8,4.553602600004524,False,True
mock_tuning,v1,2,42,141206.2292875714,240126.2292875714,98920.0,15000,12200,16,5,5.195961799996439,False,True
mock_tuning,new,2,42,1266292.5412997846,1329098.5412997846,62806.0,9527,8426,16,10,3.1955926999798976,False,True
mock_tuning,v1,3,42,1101504.993002706,1198056.993002706,96552.0,13919,11519,16,10,7.237841700029094,False,True
mock_tuning,new,3,42,5095.716956715933,25095.716956715933,20000.0,3201,2910,16,1,2.797463800001424,False,True
mock_tuning,v1,4,42,72445.78974197316,172445.78974197316,100000.0,15000,9926,16,5,5.308705499977805,False,True
mock_tuning,new,4,42,40341.504316036444,73673.50431603644,33332.0,15000,12156,16,5,2.7575909000006504,False,True
mock_tuning,v1,5,42,936231.0542101504,1036083.0542101504,99852.0,13077,11198,16,10,5.917830799997319,False,True
mock_tuning,new,5,42,756394.4348977881,776394.4348977881,20000.0,10355,9038,16,5,2.3949176999740303,False,True
mock_tuning,v1,6,42,395933.2969779339,495933.2969779339,100000.0,15000,12474,16,8,5.049567500012927,False,True
mock_tuning,new,6,42,160030.71081078687,260014.71081078687,99984.0,15000,12177,16,6,3.1445371999870986,False,True
mock_tuning,v1,7,42,1290283.9303894576,1390111.9303894576,99828.0,12689,10812,16,10,6.355029300029855,False,True
mock_tuning,new,7,42,713861.9780527942,807629.9780527942,93768.0,15000,12906,16,5,2.877064500004053,False,True
mock_tuning,v1,8,42,277197.61963057524,377197.6196305752,100000.0,15000,12274,16,8,5.356409700005315,False,True
mock_tuning,new,8,42,542146.459167345,599986.459167345,57840.0,14229,11429,16,4,2.711613000021316,False,True
mock_tuning,v1,9,42,315275.87453121075,415275.8745312108,100000.0,15000,12480,16,7,4.742281400016509,False,True
mock_tuning,new,9,42,-116664.72670142153,-16666.726701421532,99998.0,15000,12432,16,5,3.112500599992927,True,True
mock_heldout,v1,20,42,-196851.23402915223,-96851.23402915224,100000.0,15000,9926,16,5,4.857152700016741,True,True
mock_heldout,new,20,42,808188.9318828357,847092.9318828357,38904.0,15000,13608,16,9,3.390974899986759,False,True
mock_heldout,v1,21,42,320873.7020174089,420873.7020174089,100000.0,15000,9926,16,5,4.799991599982604,False,True
mock_heldout,new,21,42,706189.1682158334,791785.1682158334,85596.0,15000,12849,16,6,3.290217199944891,False,True
mock_heldout,v1,22,42,224014.5169070583,324014.5169070583,100000.0,15000,12261,16,6,4.935517899983097,False,True
mock_heldout,new,22,42,430085.6581692613,530077.6581692613,99992.0,15000,12301,16,5,3.0387807000079192,False,True
mock_heldout,v1,23,42,229117.2609226302,328325.2609226302,99208.0,15000,12895,16,8,4.773113900038879,False,True
mock_heldout,new,23,42,1026425.1507047762,1105489.1507047762,79064.0,15000,12060,16,5,2.8443303999956697,False,True
mock_heldout,v1,24,42,762334.2010250868,861944.2010250868,99610.0,15000,12400,16,9,5.907970100000966,False,True
mock_heldout,new,24,42,1368494.069682708,1398558.069682708,30064.0,14765,13564,16,10,2.7896762999589555,False,True
mock_heldout,v1,25,42,93321.4814204654,193321.4814204654,100000.0,15000,9726,16,6,5.589596500038169,False,True
mock_heldout,new,25,42,1803882.578991204,1885156.578991204,81274.0,11321,10434,16,10,4.200808199995663,False,True
mock_heldout,v1,26,42,256885.69581252028,356449.6958125203,99564.0,15000,12200,16,7,5.24506400001701,False,True
mock_heldout,new,26,42,183105.82959857333,250831.82959857333,67726.0,15000,12129,16,5,2.7228200000245124,False,True
mock_heldout,v1,27,42,-313555.37672237767,-214635.37672237767,98920.0,15000,12200,16,5,4.92005999997491,True,True
mock_heldout,new,27,42,991908.2508256689,1091908.250825669,100000.0,14543,13211,16,10,2.5638196999789216,False,True
mock_heldout,v1,28,42,842932.7038791036,942928.7038791036,99996.0,14174,11288,16,10,5.268688399984967,False,True
mock_heldout,new,28,42,699505.2149664664,777445.2149664664,77940.0,15000,12526,16,5,2.808654499996919,False,True
mock_heldout,v1,29,42,524355.2329309531,624351.2329309531,99996.0,14174,11288,16,10,6.637591400009114,False,True
mock_heldout,new,29,42,1940313.9943136275,2040305.9943136275,99992.0,12946,9448,16,10,2.943503199960105,False,True
permuted_leaders,v1,10,42,-68537.87977912414,31404.12022087585,99942.0,15000,12400,16,9,6.123542300018016,True,True
permuted_leaders,new,10,42,28903.267032816264,48903.267032816264,20000.0,7064,6492,16,10,2.3253579000011086,False,True
permuted_leaders,v1,11,42,-249035.65820611303,-149035.65820611303,100000.0,15000,9926,16,5,4.802071399986744,True,True
permuted_leaders,new,11,42,-395568.18931553466,-327774.18931553466,67794.0,15000,13403,16,8,2.4818427999853157,True,True
permuted_leaders,v1,12,42,-121081.98751583336,-21367.98751583336,99714.0,15000,12400,16,8,5.036531099991407,True,True
permuted_leaders,new,12,42,-343068.3881506081,-301140.3881506081,41928.0,15000,13579,16,8,2.560883699974511,True,True
