scenario,strategy,seed,agent_seed,net_arpu_gain,gross_gain,communication_cost,total_contacts,unique_customers,n_pilots,n_final_campaigns,runtime_seconds,negative,conforms
mock_tuning,v1,0,42,358934.2102444537,458544.2102444537,99610.0,15000,12400,16,9,11.467559300013818,False,True
mock_tuning,v1,1,42,-297696.92196291016,-198776.92196291016,98920.0,15000,12200,16,5,12.120306400000118,True,True
mock_tuning,v1,2,42,141206.2292875714,240126.2292875714,98920.0,15000,12200,16,5,8.942423100001179,False,True
mock_tuning,v1,3,42,1101504.993002706,1198056.993002706,96552.0,13919,11519,16,10,12.035860000003595,False,True
mock_tuning,v1,4,42,72445.78974197316,172445.78974197316,100000.0,15000,9926,16,5,7.750958000018727,False,True
mock_tuning,v1,5,42,936231.0542101504,1036083.0542101504,99852.0,13077,11198,16,10,7.8101463000057265,False,True
mock_tuning,v1,6,42,395933.2969779339,495933.2969779339,100000.0,15000,12474,16,8,8.182696599978954,False,True
mock_tuning,v1,7,42,1290283.9303894576,1390111.9303894576,99828.0,12689,10812,16,10,14.627441300021019,False,True
mock_tuning,v1,8,42,277197.61963057524,377197.61963057524,100000.0,15000,12274,16,8,6.860968799970578,False,True
mock_tuning,v1,9,42,315275.87453121075,415275.87453121075,100000.0,15000,12480,16,7,21.667860099987593,False,True
mock_heldout,v1,20,42,-196851.23402915226,-96851.23402915224,100000.0,15000,9926,16,5,12.942110200005118,True,True
mock_heldout,v1,21,42,320873.7020174089,420873.7020174089,100000.0,15000,9926,16,5,22.09845019999193,False,True
mock_heldout,v1,22,42,224014.5169070583,324014.5169070583,100000.0,15000,12261,16,6,21.05247059999965,False,True
mock_heldout,v1,23,42,229117.2609226302,328325.2609226302,99208.0,15000,12895,16,8,12.357376900035888,False,True
mock_heldout,v1,24,42,762334.2010250868,861944.2010250868,99610.0,15000,12400,16,9,22.650812300038524,False,True
mock_heldout,v1,25,42,93321.4814204654,193321.4814204654,100000.0,15000,9726,16,6,17.872199499979615,False,True
mock_heldout,v1,26,42,256885.69581252028,356449.6958125203,99564.0,15000,12200,16,7,10.368256699992344,False,True
mock_heldout,v1,27,42,-313555.37672237767,-214635.37672237767,98920.0,15000,12200,16,5,14.801172100007534,True,True
mock_heldout,v1,28,42,842932.7038791036,942928.7038791036,99996.0,14174,11288,16,10,7.971583399979863,False,True
mock_heldout,v1,29,42,524355.2329309531,624351.2329309531,99996.0,14174,11288,16,10,10.152152399998158,False,True
permuted_leaders,v1,10,42,-68537.87977912414,31404.120220875855,99942.0,15000,12400,16,9,11.871818899991922,True,True
permuted_leaders,v1,11,42,-249035.65820611303,-149035.65820611303,100000.0,15000,9926,16,5,7.592653099971358,True,True
permuted_leaders,v1,12,42,-121081.98751583336,-21367.98751583336,99714.0,15000,12400,16,8,13.404445399995893,True,True
sign_reversed,v1,10,42,-164648.7101432113,-65952.71014321131,98696.0,15000,12200,16,7,24.80715040001087,True,True
sign_reversed,v1,11,42,327958.0582024541,427958.0582024541,100000.0,15000,9726,16,6,8.20521619997453,False,True
sign_reversed,v1,12,42,-41811.55562323867,57902.44437676133,99714.0,15000,12400,16,8,8.123291100026108,True,True
weak_history,v1,10,42,11013313.47243859,11113313.47243859,100000.0,15000,12435,16,6,7.097600899985991,False,True
weak_history,v1,11,42,11731420.187960465,11831420.187960465,100000.0,15000,12128,16,5,5.701949899957981,False,True
weak_history,v1,12,42,10203794.828981735,10303794.828981735,100000.0,15000,12277,16,6,6.0714923000195995,False,True
low_conversion,v1,10,42,-84814.07760765478,15127.922392345223,99942.0,15000,12400,16,9,11.290491899999324,True,True
low_conversion,v1,11,42,-95905.69135337089,4094.3086466291156,100000.0,15000,9726,16,6,5.608721599972341,True,True
low_conversion,v1,12,42,-88593.2064757256,11120.793524274402,99714.0,15000,12400,16,8,7.621221699984744,True,True
saturated_calls,v1,10,42,19930405.395629685,20027773.395629685,97368.0,15000,12132,16,5,5.729137199989054,False,True
saturated_calls,v1,11,42,18439804.711405076,18539804.711405076,100000.0,15000,12531,16,5,10.66930200002389,False,True
saturated_calls,v1,12,42,19800006.397464633,19899274.397464633,99268.0,15000,12292,16,5,6.628306900034659,False,True
near_zero,v1,10,42,-107004.72473409049,-7062.724734090492,99942.0,15000,12400,16,9,9.2299275000114,True,True
near_zero,v1,11,42,-73710.39611572961,26289.603884270382,100000.0,15000,9726,16,6,6.96043620002456,True,True
near_zero,v1,12,42,-87934.87292782331,11779.127072176696,99714.0,15000,12400,16,8,5.850661799951922,True,True
