scenario,seed,advanced_net,simple_net,advanced_minus_simple_net,advanced_cost,simple_cost,both_conform
mock_tuning,0,1522752.1993233322,1522752.1993233322,0.0,30192.0,30192.0,True
mock_tuning,1,944818.0037831956,944818.0037831956,0.0,100000.0,100000.0,True
mock_tuning,2,1266292.5412997846,1266292.5412997846,0.0,62806.0,62806.0,True
mock_tuning,3,5095.716956715933,5095.716956715933,0.0,20000.0,20000.0,True
mock_tuning,4,40341.50431603645,40341.50431603645,0.0,33332.0,33332.0,True
mock_tuning,5,756394.4348977881,756394.4348977881,0.0,20000.0,20000.0,True
mock_tuning,6,160030.71081078687,160030.71081078687,0.0,99984.0,99984.0,True
mock_tuning,7,713861.9780527942,713861.9780527942,0.0,93768.0,93768.0,True
mock_tuning,8,542146.459167345,542146.459167345,0.0,57840.0,57840.0,True
mock_tuning,9,-116664.72670142152,-146152.38353868594,29487.656837264425,99998.0,99998.0,True
mock_heldout,20,808188.9318828357,808188.9318828357,0.0,38904.0,38904.0,True
mock_heldout,21,706189.1682158334,252628.76897024288,453560.3992455905,85596.0,99998.0,True
mock_heldout,22,430085.6581692613,430085.6581692613,0.0,99992.0,99992.0,True
mock_heldout,23,1026425.1507047762,601413.5245360421,425011.62616873404,79064.0,97420.0,True
mock_heldout,24,1368494.069682708,1368494.069682708,0.0,30064.0,30064.0,True
mock_heldout,25,1803882.578991204,1803882.578991204,0.0,81274.0,81274.0,True
mock_heldout,26,183105.82959857333,183105.82959857333,0.0,67726.0,67726.0,True
mock_heldout,27,991908.2508256688,991908.2508256688,0.0,100000.0,100000.0,True
mock_heldout,28,699505.2149664664,697252.8898370559,2252.325129410485,77940.0,77928.0,True
mock_heldout,29,1940313.9943136277,1994109.5437501783,-53795.54943655059,99992.0,100000.0,True
permuted_leaders,10,28903.267032816264,28903.267032816264,0.0,20000.0,20000.0,True
permuted_leaders,11,-395568.18931553466,-396393.2250128976,825.0356973629096,67794.0,67794.0,True
permuted_leaders,12,-343068.3881506081,-343068.3881506081,0.0,41928.0,41928.0,True
sign_reversed,10,-223841.89218107343,-223841.89218107343,0.0,20000.0,20000.0,True
sign_reversed,11,265259.7543165229,343073.7531959048,-77813.99887938186,76658.0,76362.0,True
sign_reversed,12,430939.8130189772,378010.21127277904,52929.60174619814,57236.0,57236.0,True
weak_history,10,11306988.82584574,11306988.82584574,0.0,99996.0,99996.0,True
weak_history,11,12460023.124381188,10549865.507185671,1910157.6171955168,95062.0,99992.0,True
weak_history,12,9810528.448137533,9810528.448137533,0.0,99998.0,99998.0,True
low_conversion,10,5834.833159953581,5834.833159953581,0.0,20000.0,20000.0,True
low_conversion,11,-49497.84194228629,-50669.991843929296,1172.1499016430025,56808.0,56580.0,True
low_conversion,12,-30464.28357624537,-30464.28357624537,0.0,58768.0,58768.0,True
saturated_calls,10,18491729.836650968,17686931.894379973,804797.9422709942,99998.0,99992.0,True
saturated_calls,11,20591856.510159053,17689314.562870197,2902541.947288856,96594.0,100000.0,True
saturated_calls,12,18184527.39792455,15827590.46364786,2356936.9342766907,99998.0,99992.0,True
near_zero,10,-19323.0993664683,-19323.0993664683,0.0,20000.0,20000.0,True
near_zero,11,-38231.49484049193,-38254.45711088147,22.962270389543846,58636.0,58636.0,True
near_zero,12,-49358.53119928182,-49358.53119928182,0.0,58768.0,58768.0,True
model_holdout_permuted_leaders,31,-296781.05822196347,-297527.1431348897,746.0849129262497,67794.0,67794.0,True
model_holdout_weak_history,31,7106126.385271946,7106126.385271946,0.0,99998.0,99998.0,True
model_holdout_saturated_calls,31,21772273.858294025,15867046.720478822,5905227.1378152035,92794.0,99990.0,True
