scenario,strategy,seed,agent_seed,net_arpu_gain,gross_gain,communication_cost,total_contacts,unique_customers,n_pilots,n_final_campaigns,runtime_seconds,negative,conforms,options
mock,v2,0,42,1522752.1993233322,1552944.1993233322,30192.0,10071,9366,16,10,2.938536199973896,False,True,{}
mock,v2,1,42,944818.0037831955,1044818.0037831955,100000.0,15000,13769,16,8,3.8344626000034623,False,True,{}
mock,v2,2,42,1266292.5412997846,1329098.5412997846,62806.0,9527,8426,16,10,3.593358799989801,False,True,{}
mock,no_history,0,42,-148151.8627222503,-128151.86272225031,20000.0,3201,2863,16,1,2.786685099999886,True,True,"{""use_history"": false}"
mock,no_history,1,42,-162036.79849724728,-142036.79849724728,20000.0,3201,2893,16,1,3.637514200003352,True,True,"{""use_history"": false}"
mock,no_history,2,42,-257237.34770785444,-237237.34770785444,20000.0,9891,7640,16,3,1.9218525000032969,True,True,"{""use_history"": false}"
mock,fixed_prior,0,42,968012.6856720515,1067980.6856720515,99968.0,15000,12400,16,9,4.671346799994353,False,True,"{""calibrate_prior"": false}"
mock,fixed_prior,1,42,429636.8501411567,526806.8501411567,97170.0,15000,12200,16,7,3.477815999998711,False,True,"{""calibrate_prior"": false}"
mock,fixed_prior,2,42,170979.3138876002,261121.3138876002,90142.0,15000,12467,16,5,3.787170800031163,False,True,"{""calibrate_prior"": false}"
mock,fixed_diverse,0,42,760016.6757896383,830416.6757896383,70400.0,14582,12332,16,10,2.616421499988064,False,True,"{""adaptive"": false, ""diverse_fixed"": true}"
mock,fixed_diverse,1,42,578471.0000429137,678323.0000429137,99852.0,13601,12189,16,10,2.539672299986705,False,True,"{""adaptive"": false, ""diverse_fixed"": true}"
mock,fixed_diverse,2,42,876827.0007907622,976519.0007907622,99692.0,13178,11657,16,10,2.6931517999619246,False,True,"{""adaptive"": false, ""diverse_fixed"": true}"
mock,no_risk_penalty,0,42,587646.5449701294,687646.5449701294,100000.0,15000,13524,16,8,2.891987600014545,False,True,"{""risk_penalty"": 0}"
mock,no_risk_penalty,1,42,519931.6351925344,619887.6351925344,99956.0,15000,13948,16,9,3.280713599990122,False,True,"{""risk_penalty"": 0}"
mock,no_risk_penalty,2,42,891042.253820553,987636.253820553,96594.0,15000,13058,16,6,2.9210734000080265,False,True,"{""risk_penalty"": 0}"
mock,push_only,0,42,911806.8925591321,911806.8925591321,0.0,5716,5259,16,4,1.8807143000303768,False,True,"{""allowed_channels"": [""push""]}"
mock,push_only,1,42,909498.4470074216,909498.4470074216,0.0,15000,13889,16,9,1.9548682000022382,False,True,"{""allowed_channels"": [""push""]}"
mock,push_only,2,42,1015063.2712961969,1015063.2712961969,0.0,7427,6704,16,10,2.2742694999906234,False,True,"{""allowed_channels"": [""push""]}"
mock,basic_planner,0,42,1522752.1993233322,1552944.1993233322,30192.0,10071,9366,16,10,2.940299900015816,False,True,"{""advanced_search"": false}"
mock,basic_planner,1,42,944818.0037831955,1044818.0037831955,100000.0,15000,13769,16,8,3.13072800001828,False,True,"{""advanced_search"": false}"
mock,basic_planner,2,42,1266292.5412997846,1329098.5412997846,62806.0,9527,8426,16,10,2.8553505999734625,False,True,"{""advanced_search"": false}"
