scenario,strategy,seed,agent_seed,net_arpu_gain,gross_gain,communication_cost,total_contacts,unique_customers,n_pilots,n_final_campaigns,runtime_seconds,negative,conforms
mock_tuning,v1,0,42,358934.2102444537,458544.2102444537,99610.0,15000,12400,16,9,7.011242699983995,False,True
mock_tuning,v1,1,42,-297696.92196291016,-198776.92196291016,98920.0,15000,12200,16,5,5.690350200049579,True,True
mock_tuning,v1,2,42,141206.2292875714,240126.2292875714,98920.0,15000,12200,16,5,5.195961799996439,False,True
mock_tuning,v1,3,42,1101504.993002706,1198056.993002706,96552.0,13919,11519,16,10,7.237841700029094,False,True
mock_tuning,v1,4,42,72445.78974197316,172445.78974197316,100000.0,15000,9926,16,5,5.308705499977805,False,True
mock_tuning,v1,5,42,936231.0542101504,1036083.0542101504,99852.0,13077,11198,16,10,5.9178307999973185,False,True
mock_tuning,v1,6,42,395933.2969779339,495933.2969779339,100000.0,15000,12474,16,8,5.049567500012927,False,True
mock_tuning,v1,7,42,1290283.9303894576,1390111.9303894576,99828.0,12689,10812,16,10,6.355029300029855,False,True
mock_tuning,v1,8,42,277197.61963057524,377197.61963057524,100000.0,15000,12274,16,8,5.356409700005315,False,True
mock_tuning,v1,9,42,315275.87453121075,415275.87453121075,100000.0,15000,12480,16,7,4.742281400016509,False,True
mock_heldout,v1,20,42,-196851.23402915226,-96851.23402915224,100000.0,15000,9926,16,5,4.857152700016741,True,True
mock_heldout,v1,21,42,320873.7020174089,420873.7020174089,100000.0,15000,9926,16,5,4.799991599982604,False,True
mock_heldout,v1,22,42,224014.5169070583,324014.5169070583,100000.0,15000,12261,16,6,4.935517899983097,False,True
mock_heldout,v1,23,42,229117.2609226302,328325.2609226302,99208.0,15000,12895,16,8,4.773113900038879,False,True
mock_heldout,v1,24,42,762334.2010250868,861944.2010250868,99610.0,15000,12400,16,9,5.907970100000966,False,True
mock_heldout,v1,25,42,93321.4814204654,193321.4814204654,100000.0,15000,9726,16,6,5.589596500038169,False,True
mock_heldout,v1,26,42,256885.69581252028,356449.6958125203,99564.0,15000,12200,16,7,5.24506400001701,False,True
mock_heldout,v1,27,42,-313555.37672237767,-214635.37672237767,98920.0,15000,12200,16,5,4.92005999997491,True,True
mock_heldout,v1,28,42,842932.7038791036,942928.7038791036,99996.0,14174,11288,16,10,5.268688399984967,False,True
mock_heldout,v1,29,42,524355.2329309531,624351.2329309531,99996.0,14174,11288,16,10,6.637591400009114,False,True
permuted_leaders,v1,10,42,-68537.87977912414,31404.12022087585,99942.0,15000,12400,16,9,6.123542300018016,True,True
permuted_leaders,v1,11,42,-249035.65820611303,-149035.65820611303,100000.0,15000,9926,16,5,4.802071399986744,True,True
permuted_leaders,v1,12,42,-121081.98751583336,-21367.98751583336,99714.0,15000,12400,16,8,5.036531099991407,True,True
sign_reversed,v1,10,42,-164648.7101432113,-65952.71014321131,98696.0,15000,12200,16,7,6.671952100005001,True,True
sign_reversed,v1,11,42,327958.0582024541,427958.0582024541,100000.0,15000,9726,16,6,4.823274999973364,False,True
sign_reversed,v1,12,42,-41811.55562323867,57902.44437676133,99714.0,15000,12400,16,8,4.835147599980701,True,True
weak_history,v1,10,42,11013313.47243859,11113313.47243859,100000.0,15000,12435,16,6,4.403712900006212,False,True
weak_history,v1,11,42,11731420.187960465,11831420.187960465,100000.0,15000,12128,16,5,4.658692999975756,False,True
weak_history,v1,12,42,10203794.828981735,10303794.828981735,100000.0,15000,12277,16,6,5.04346210003132,False,True
low_conversion,v1,10,42,-84814.07760765478,15127.922392345225,99942.0,15000,12400,16,9,7.064795799960848,True,True
low_conversion,v1,11,42,-95905.69135337089,4094.308646629116,100000.0,15000,9726,16,6,4.844486500020139,True,True
low_conversion,v1,12,42,-88593.2064757256,11120.793524274402,99714.0,15000,12400,16,8,4.880728200019803,True,True
saturated_calls,v1,10,42,19930405.395629685,20027773.395629685,97368.0,15000,12132,16,5,4.074540900008287,False,True
saturated_calls,v1,11,42,18439804.71140508,18539804.71140508,100000.0,15000,12531,16,5,3.9897604000288993,False,True
saturated_calls,v1,12,42,19800006.397464633,19899274.397464633,99268.0,15000,12292,16,5,4.014552999986336,False,True
near_zero,v1,10,42,-107004.72473409049,-7062.724734090492,99942.0,15000,12400,16,9,7.649190700030886,True,True
near_zero,v1,11,42,-73710.39611572961,26289.603884270386,100000.0,15000,9726,16,6,4.926212599966675,True,True
near_zero,v1,12,42,-87934.87292782331,11779.127072176696,99714.0,15000,12400,16,8,5.320741000003181,True,True
