scenario,strategy,seed,agent_seed,net_arpu_gain,gross_gain,communication_cost,total_contacts,unique_customers,n_pilots,n_final_campaigns,runtime_seconds,negative,conforms,pilot_groups,max_pilots_per_group
mock,diverse_fixed,0,42,1057681.5929097147,1157671.5929097147,99990.0,14391,12141,16,10,5.631146700005047,False,True,6,4
mock,diverse_fixed,1,42,418286.3327380745,517850.3327380745,99564.0,15000,12717,16,6,5.28166819998296,False,True,6,4
mock,diverse_fixed,2,42,284422.953986918,383342.953986918,98920.0,15000,12378,16,5,4.715070699981879,False,True,6,4
mock,diverse_fixed,3,42,1011047.014267547,1106763.014267547,95716.0,15000,12574,16,8,5.341942799976096,False,True,6,4
mock,diverse_fixed,4,42,491357.06086087716,591357.0608608772,100000.0,15000,12637,16,7,4.000273099984042,False,True,6,4
mock,diverse_fixed,5,42,994884.1812333879,1094736.181233388,99852.0,13077,11379,16,10,4.505560100020375,False,True,6,4
mock,diverse_fixed,6,42,-231695.75247956935,-132775.75247956935,98920.0,15000,12366,16,5,3.992147399985697,True,True,6,4
mock,diverse_fixed,7,42,1027247.8651646797,1126067.8651646797,98820.0,15000,12850,16,7,4.378125299990643,False,True,6,4
mock,diverse_fixed,8,42,-255839.33890201204,-155839.33890201204,100000.0,15000,12323,16,5,4.077771600044798,True,True,6,4
mock,diverse_fixed,9,42,71045.42281334908,171039.42281334908,99994.0,15000,12011,16,6,4.660682799993083,False,True,6,4
permuted_leaders,diverse_fixed,0,42,-130047.66755780578,-30057.66755780577,99990.0,12790,10916,16,10,6.228674500016496,True,True,6,4
permuted_leaders,diverse_fixed,1,42,-67020.79992118801,32247.20007881199,99268.0,15000,12200,16,5,5.037835700029973,True,True,6,4
permuted_leaders,diverse_fixed,2,42,-277275.9861599967,-177711.98615999674,99564.0,15000,12725,16,6,6.116142799961381,True,True,6,4
sign_reversed,diverse_fixed,0,42,-388524.1885352171,-288524.1885352171,100000.0,14603,12101,16,10,5.703064700006507,True,True,6,4
sign_reversed,diverse_fixed,1,42,349548.27311698545,448816.27311698545,99268.0,15000,12200,16,5,4.244366400002036,False,True,6,4
sign_reversed,diverse_fixed,2,42,-137436.2432052148,-38168.243205214785,99268.0,15000,12200,16,5,5.806417200015858,True,True,6,4
weak_history,diverse_fixed,0,42,6486298.148441898,6585986.148441898,99688.0,15000,12166,16,5,4.777938499988522,False,True,6,4
weak_history,diverse_fixed,1,42,6667006.00531367,6764374.00531367,97368.0,15000,12120,16,5,4.381417699973099,False,True,6,4
weak_history,diverse_fixed,2,42,6493503.88397629,6592771.88397629,99268.0,15000,12114,16,5,4.476309599995147,False,True,6,4
low_conversion,diverse_fixed,0,42,-77435.77529834589,22192.22470165411,99628.0,12790,10916,16,10,6.171730600006413,True,True,6,4
low_conversion,diverse_fixed,1,42,-92687.42656458591,6580.5734354140895,99268.0,15000,12200,16,5,5.913713999965694,True,True,6,4
low_conversion,diverse_fixed,2,42,-89909.77083690885,9358.229163091151,99268.0,15000,12200,16,5,4.732879499963019,True,True,6,4
saturated_calls,diverse_fixed,0,42,19603564.599484254,19703564.599484254,100000.0,15000,12149,16,5,3.7925408000010066,False,True,6,4
saturated_calls,diverse_fixed,1,42,20292572.03170264,20392572.03170264,100000.0,15000,12160,16,5,3.686932499986142,False,True,6,4
saturated_calls,diverse_fixed,2,42,20110645.896005422,20210645.896005422,100000.0,15000,12124,16,5,3.489742200006731,False,True,6,4
near_zero,diverse_fixed,0,42,-115782.21542932901,-16154.215429329011,99628.0,12790,10916,16,10,6.216867000039201,True,True,6,4
near_zero,diverse_fixed,1,42,-99935.08834235583,-667.0883423558303,99268.0,15000,12200,16,5,4.031969900010154,True,True,6,4
near_zero,diverse_fixed,2,42,-110092.33541954652,-10824.335419546525,99268.0,15000,12200,16,5,4.384355899994262,True,True,6,4
