scenario,strategy,seed,agent_seed,net_arpu_gain,gross_gain,communication_cost,total_contacts,unique_customers,n_pilots,n_final_campaigns,runtime_seconds,negative,conforms
mock_tuning,v1,0,42,358934.2102444537,458544.2102444537,99610.0,15000,12400,16,9,7.011242699983995,False,True
mock_tuning,new,0,42,1522752.1993233322,1552944.1993233322,30192.0,10071,9366,16,10,2.288867100025527,False,True
mock_tuning,v1,1,42,-297696.92196291016,-198776.92196291016,98920.0,15000,12200,16,5,5.690350200049579,True,True
mock_tuning,new,1,42,944818.0037831955,1044818.0037831955,100000.0,15000,13769,16,8,2.4846822999534197,False,True
mock_tuning,v1,2,42,141206.2292875714,240126.2292875714,98920.0,15000,12200,16,5,5.195961799996439,False,True
mock_tuning,new,2,42,1266292.5412997846,1329098.5412997846,62806.0,9527,8426,16,10,2.3616316000116058,False,True
mock_tuning,v1,3,42,1101504.993002706,1198056.993002706,96552.0,13919,11519,16,10,7.237841700029094,False,True
mock_tuning,new,3,42,5095.716956715933,25095.716956715933,20000.0,3201,2910,16,1,2.4068106999620795,False,True
mock_tuning,v1,4,42,72445.78974197316,172445.78974197316,100000.0,15000,9926,16,5,5.308705499977805,False,True
mock_tuning,new,4,42,40341.504316036444,73673.50431603644,33332.0,15000,12156,16,5,2.1112498000147752,False,True
mock_tuning,v1,5,42,936231.0542101504,1036083.0542101504,99852.0,13077,11198,16,10,5.917830799997319,False,True
mock_tuning,new,5,42,756394.4348977881,776394.4348977881,20000.0,10355,9038,16,5,2.0607678000233136,False,True
mock_tuning,v1,6,42,395933.2969779339,495933.2969779339,100000.0,15000,12474,16,8,5.049567500012927,False,True
mock_tuning,new,6,42,160030.71081078687,260014.71081078687,99984.0,15000,12177,16,6,2.2562466000090353,False,True
mock_tuning,v1,7,42,1290283.9303894576,1390111.9303894576,99828.0,12689,10812,16,10,6.355029300029855,False,True
mock_tuning,new,7,42,713861.9780527942,807629.9780527942,93768.0,15000,12906,16,5,2.3976780000375584,False,True
mock_tuning,v1,8,42,277197.61963057524,377197.6196305752,100000.0,15000,12274,16,8,5.356409700005315,False,True
mock_tuning,new,8,42,542146.459167345,599986.459167345,57840.0,14229,11429,16,4,2.145560800039675,False,True
mock_tuning,v1,9,42,315275.87453121075,415275.8745312108,100000.0,15000,12480,16,7,4.742281400016509,False,True
mock_tuning,new,9,42,-146152.38353868594,-46154.38353868595,99998.0,15000,12411,16,5,2.339108699990902,True,True
mock_heldout,v1,20,42,-196851.23402915223,-96851.23402915224,100000.0,15000,9926,16,5,4.857152700016741,True,True
mock_heldout,new,20,42,808188.9318828357,847092.9318828357,38904.0,15000,13608,16,9,2.400615499995183,False,True
mock_heldout,v1,21,42,320873.7020174089,420873.7020174089,100000.0,15000,9926,16,5,4.799991599982604,False,True
mock_heldout,new,21,42,252628.76897024288,352626.7689702429,99998.0,15000,12899,16,6,2.3850733999861404,False,True
mock_heldout,v1,22,42,224014.5169070583,324014.5169070583,100000.0,15000,12261,16,6,4.935517899983097,False,True
mock_heldout,new,22,42,430085.6581692613,530077.6581692613,99992.0,15000,12301,16,5,2.100450100027956,False,True
mock_heldout,v1,23,42,229117.2609226302,328325.2609226302,99208.0,15000,12895,16,8,4.773113900038879,False,True
mock_heldout,new,23,42,601413.5245360421,698833.5245360421,97420.0,15000,12257,16,5,2.435500100022182,False,True
mock_heldout,v1,24,42,762334.2010250868,861944.2010250868,99610.0,15000,12400,16,9,5.907970100000966,False,True
mock_heldout,new,24,42,1368494.069682708,1398558.069682708,30064.0,14765,13564,16,10,2.6575750000192784,False,True
